12:48:29.066135781 execve runc:[1:CHILD] runc
12:48:39.096167879 execve groovy /usr/bin/env
12:48:39.096172317 execve groovy /usr/bin/env
12:48:39.096423986 execve sh sh
12:48:39.096450305 execve sh sh
12:48:39.096467353 execve sh sh
12:48:39.096493599 execve sh sh
12:48:39.099347625 execve sh sh
12:48:39.099352737 execve sh sh
12:48:39.099355804 execve sh sh
12:48:39.099360370 execve sh sh
12:48:39.099573344 execve ls ls
12:48:39.099603402 execve ls ls
12:48:39.099622462 execve ls ls
12:48:39.099651606 execve ls ls
12:48:39.108390356 execve sh sh
12:48:39.108394952 execve sh sh
12:48:39.108397880 execve sh sh
12:48:39.108402093 execve sh sh
12:48:39.108645662 execve expr expr
12:48:39.108688179 execve expr expr
12:48:39.108707195 execve expr expr
12:48:39.108748976 execve expr expr
12:48:39.112111273 execve sh sh
12:48:39.112121822 execve sh sh
12:48:39.112130299 execve sh sh
12:48:39.112140195 execve sh sh
12:48:39.112474756 execve expr expr
12:48:39.112516445 execve expr expr
12:48:39.112542906 execve expr expr
12:48:39.112582509 execve expr expr
12:48:39.116580113 execve sh sh
12:48:39.116584466 execve sh sh
12:48:39.116587279 execve sh sh
12:48:39.116591305 execve sh sh
12:48:39.116795613 execve dirname dirname
12:48:39.116825680 execve dirname dirname
12:48:39.116844327 execve dirname dirname
12:48:39.116873051 execve dirname dirname
12:48:39.122965527 execve sh sh
12:48:39.122969915 execve sh sh
12:48:39.122972520 execve sh sh
12:48:39.122976737 execve sh sh
12:48:39.123190043 execve basename basename
12:48:39.123219119 execve basename basename
12:48:39.123238200 execve basename basename
12:48:39.123266671 execve basename basename
12:48:39.130873646 execve sh sh
12:48:39.130878218 execve sh sh
12:48:39.130880936 execve sh sh
12:48:39.130885197 execve sh sh
12:48:39.131071776 execve uname uname
12:48:39.131099672 execve uname uname
12:48:39.131118116 execve uname uname
12:48:39.131146186 execve uname uname
12:48:39.138192995 execve sh sh
12:48:39.138197959 execve sh sh
12:48:39.138200948 execve sh sh
12:48:39.138205601 execve sh sh
12:48:39.138416409 execve expr expr
12:48:39.138447572 execve expr expr
12:48:39.138467247 execve expr expr
12:48:39.138497408 execve expr expr
12:48:39.146162662 execve sh sh
12:48:39.146167908 execve sh sh
12:48:39.146170907 execve sh sh
12:48:39.146175193 execve sh sh
12:48:39.147276734 execve sed sed
12:48:39.147309851 execve sed sed
12:48:39.147331131 execve sed sed
12:48:39.147363392 execve sed sed
12:48:39.174148136 execve sh sh
12:48:39.174153723 execve sh sh
12:48:39.174157792 execve sh sh
12:48:39.174163816 execve sh sh
12:48:39.174203153 execve sh sh
12:48:39.174208091 execve sh sh
12:48:39.174211095 execve sh sh
12:48:39.174215551 execve sh sh
12:48:39.174270963 execve sh sh
12:48:39.174276607 execve sh sh
12:48:39.174279926 execve sh sh
12:48:39.174286326 execve sh sh
12:48:39.174458356 execve cut cut
12:48:39.174468530 execve awk awk
12:48:39.174491292 execve cut cut
12:48:39.174497691 execve awk awk
12:48:39.174512907 execve cut cut
12:48:39.174516683 execve awk awk
12:48:39.174547605 execve awk awk
12:48:39.174547655 execve cut cut
12:48:39.174548034 execve java /opt/java/openjdk/bin/java
12:48:39.174583120 execve java /opt/java/openjdk/bin/java
12:48:39.174605682 execve java /opt/java/openjdk/bin/java
12:48:39.174639944 execve java /opt/java/openjdk/bin/java
12:48:39.371152026 execve sh sh
12:48:39.371159391 execve sh sh
12:48:39.371163987 execve sh sh
12:48:39.371170596 execve sh sh
12:48:39.371407835 execve expr expr
12:48:39.371450168 execve expr expr
12:48:39.371478701 execve expr expr
12:48:39.371521250 execve expr expr
12:48:39.373965870 execve sh sh
12:48:39.373971597 execve sh sh
12:48:39.373975106 execve sh sh
12:48:39.373980253 execve sh sh
12:48:39.374228533 execve java /opt/java/openjdk/bin/java
12:48:39.374271865 execve java /opt/java/openjdk/bin/java
12:48:39.374292076 execve java /opt/java/openjdk/bin/java
12:48:39.374334769 execve java /opt/java/openjdk/bin/java
