=== Skipped Methods (VerifyError/Exceptions during body building) ===
Format: methodSig | exceptionType | message
<com.datastax.shaded.netty.handler.ssl.ReferenceCountedOpenSslClientContext: com.datastax.shaded.netty.handler.ssl.OpenSslSessionContext newSessionContext(com.datastax.shaded.netty.handler.ssl.ReferenceCountedOpenSslContext,long,com.datastax.shaded.netty.handler.ssl.OpenSslEngineMap,java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.String,long,long)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.ssl.ReferenceCountedOpenSslEngine: javax.net.ssl.SSLException newSSLExceptionForError(int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.ssl.util.BouncyCastleSelfSignedCertGenerator: java.lang.String[] generate(java.lang.String,java.security.KeyPair,java.security.SecureRandom,java.util.Date,java.util.Date,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.handler.ssl.util.BouncyCastleSelfSignedCertGenerator: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.AsciiString: boolean regionMatchesAscii(java.lang.CharSequence,boolean,int,java.lang.CharSequence,int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.AsciiString: boolean regionMatches(java.lang.CharSequence,boolean,int,java.lang.CharSequence,int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.concurrent.PromiseTask: void <init>(com.datastax.shaded.netty.util.concurrent.EventExecutor,java.lang.Runnable,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.internal.NativeLibraryLoader: void loadLibrary(java.lang.ClassLoader,java.lang.String,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.internal.PlatformDependent: java.util.Queue newSpscQueue()> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.internal.PlatformDependent: java.util.Queue newFixedMpscQueue(int)> | java.lang.VerifyError | Cannot inherit from final class
<com.datastax.shaded.netty.util.internal.logging.Slf4JLoggerFactory: com.datastax.shaded.netty.util.internal.logging.InternalLogger wrapLogger(org.slf4j.Logger)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.deser.BeanDeserializerFactory: com.fasterxml.jackson.databind.deser.SettableBeanProperty constructSettableProperty(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition,com.fasterxml.jackson.databind.JavaType)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.deser.std.PrimitiveArrayDeserializers: com.fasterxml.jackson.databind.JsonDeserializer createContextual(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanProperty)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.deser.std.StdDeserializer: java.lang.Object _coerceEmptyString(com.fasterxml.jackson.databind.DeserializationContext,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.deser.std.StdDeserializer: void _verifyNullForPrimitiveCoercion(com.fasterxml.jackson.databind.DeserializationContext,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition: com.fasterxml.jackson.databind.introspect.AnnotatedMember getMutator()> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition: com.fasterxml.jackson.databind.introspect.AnnotatedMember getNonConstructorMutator()> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition: com.fasterxml.jackson.databind.introspect.AnnotatedMember getAccessor()> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector: void _sortProperties(java.util.Map)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder: com.fasterxml.jackson.databind.JavaType getPrimaryType()> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.Long)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode insert(int,java.lang.Short)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.Double)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.Long)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.Boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,byte[])> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(byte[])> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.Double)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.Short)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode insert(int,java.lang.Double)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.Float)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode insert(int,java.lang.Long)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.Short)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.Float)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode insert(int,java.lang.Float)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode add(java.lang.Integer)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode insert(int,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode insert(int,java.lang.Integer)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.Boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ArrayNode: com.fasterxml.jackson.databind.node.ArrayNode set(int,java.lang.Integer)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.JsonNodeFactory: com.fasterxml.jackson.databind.node.ValueNode numberNode(java.lang.Byte)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.JsonNodeFactory: com.fasterxml.jackson.databind.node.ValueNode numberNode(java.lang.Float)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.JsonNodeFactory: com.fasterxml.jackson.databind.node.ValueNode numberNode(java.lang.Integer)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.JsonNodeFactory: com.fasterxml.jackson.databind.node.ValueNode numberNode(java.lang.Double)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.JsonNodeFactory: com.fasterxml.jackson.databind.node.ValueNode numberNode(java.lang.Short)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.Integer)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,byte[])> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.Short)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.Float)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.Double)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.Boolean)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.node.ObjectNode: com.fasterxml.jackson.databind.node.ObjectNode put(java.lang.String,java.lang.Long)> | java.lang.VerifyError | Cannot inherit from final class
<com.fasterxml.jackson.databind.ser.BeanPropertyWriter: void depositSchemaProperty(com.fasterxml.jackson.databind.node.ObjectNode,com.fasterxml.jackson.databind.SerializerProvider)> | java.lang.VerifyError | Cannot inherit from final class
<com.github.benmanes.caffeine.cache.Caffeine: com.github.benmanes.caffeine.cache.LoadingCache build(com.github.benmanes.caffeine.cache.CacheLoader)> | java.lang.VerifyError | Cannot inherit from final class
<com.github.benmanes.caffeine.cache.Caffeine: com.github.benmanes.caffeine.cache.AsyncLoadingCache buildAsync(com.github.benmanes.caffeine.cache.AsyncCacheLoader)> | java.lang.VerifyError | Cannot inherit from final class
<com.github.benmanes.caffeine.cache.Caffeine: com.github.benmanes.caffeine.cache.Cache build()> | java.lang.VerifyError | Cannot inherit from final class
<com.github.benmanes.caffeine.cache.Caffeine: com.github.benmanes.caffeine.cache.AsyncCache buildAsync()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.base.Suppliers: com.google.common.base.Supplier memoize(com.google.common.base.Supplier)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.cache.LongAddables: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.collect.ContiguousSet: com.google.common.collect.ContiguousSet create(com.google.common.collect.Range,com.google.common.collect.DiscreteDomain)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.collect.FilteredEntryMultimap: java.util.Collection unmodifiableEmptyCollection()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.collect.Lists: java.util.List subListImpl(java.util.List,int,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.collect.Lists: java.util.List transform(java.util.List,com.google.common.base.Function)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.collect.RegularImmutableTable: com.google.common.collect.RegularImmutableTable forOrderedComponents(com.google.common.collect.ImmutableList,com.google.common.collect.ImmutableSet,com.google.common.collect.ImmutableSet)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.graph.EndpointPairIterator: com.google.common.graph.EndpointPairIterator of(com.google.common.graph.BaseGraph)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.graph.ImmutableGraph: com.google.common.graph.GraphConnections connectionsOf(com.google.common.graph.Graph,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.graph.ImmutableNetwork: com.google.common.graph.NetworkConnections connectionsOf(com.google.common.graph.Network,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.graph.ImmutableValueGraph: com.google.common.graph.GraphConnections connectionsOf(com.google.common.graph.ValueGraph,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.graph.StandardMutableNetwork: com.google.common.graph.NetworkConnections newConnections()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.graph.StandardMutableValueGraph: com.google.common.graph.GraphConnections newConnections()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.hash.LittleEndianByteArray: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.hash.LongAddables: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.io.Closer: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.util.concurrent.AbstractFuture: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.util.concurrent.AggregateFutureState: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<com.google.common.util.concurrent.Striped: com.google.common.util.concurrent.Striped lazy(int,com.google.common.base.Supplier)> | java.lang.VerifyError | Cannot inherit from final class
<com.kenai.jffi.DirectObjectParameterStrategy: int offset(java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.kenai.jffi.DirectObjectParameterStrategy: java.lang.Object object(java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.kenai.jffi.DirectObjectParameterStrategy: int length(java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.Function: java.lang.Object invoke(java.lang.Object[],java.lang.Class,boolean,int)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.Pointer: java.lang.Object getValue(long,java.lang.Class,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.StringArray: void read()> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.Structure: java.lang.Object initializeField(java.lang.reflect.Field,java.lang.Class)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.platform.win32.Advapi32Util: java.lang.Object registryGetValue(com.sun.jna.platform.win32.WinReg$HKEY,java.lang.String,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.platform.win32.COM.tlb.imp.TlbCoClass: void createFunctions(com.sun.jna.platform.win32.COM.TypeInfoUtil,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.platform.win32.COM.tlb.imp.TlbDispInterface: void <init>(int,java.lang.String,com.sun.jna.platform.win32.COM.TypeLibUtil)> | java.lang.VerifyError | Cannot inherit from final class
<com.sun.jna.platform.win32.COM.util.Convert: java.lang.Object toJavaObject(com.sun.jna.platform.win32.Variant$VARIANT,java.lang.Class,com.sun.jna.platform.win32.COM.util.ObjectFactory,boolean,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.HostName: inet.ipaddr.IPAddress toIPAddress(java.net.InetAddress,inet.ipaddr.IPAddressStringParameters,java.lang.Integer)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.HostName: inet.ipaddr.IPAddress toIPAddress(java.net.InetAddress,inet.ipaddr.IPAddressStringParameters)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.format.util.AbstractTree: inet.ipaddr.Address checkBlockOrAddress(inet.ipaddr.Address,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.format.util.AddressTrie: java.util.Iterator containedFirstBoundedIterator(boolean,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.format.validate.ParsedIPAddress: java.lang.Boolean contains(inet.ipaddr.format.validate.ParsedIPAddress,boolean,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.format.validate.ParsedIPAddress: java.lang.Boolean contains(java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.format.validate.ParsedIPAddress: inet.ipaddr.format.IPAddressDivisionSeries getDivisionGrouping()> | java.lang.VerifyError | Cannot inherit from final class
<inet.ipaddr.format.validate.Validator: void validateAddress(inet.ipaddr.IPAddressStringParameters,inet.ipaddr.MACAddressStringParameters,java.lang.CharSequence,int,int,inet.ipaddr.format.validate.IPAddressParseData,inet.ipaddr.format.validate.MACAddressParseData,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.buffer.ByteBufUtil: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newHeapBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.buffer.PooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.buffer.UnpooledByteBufAllocator: io.netty.buffer.ByteBuf newHeapBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.buffer.UnpooledByteBufAllocator: io.netty.buffer.ByteBuf newDirectBuffer(int,int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.channel.DefaultChannelPipeline: void callHandlerCallbackLater(io.netty.channel.AbstractChannelHandlerContext,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.channel.PendingBytesTracker: io.netty.channel.PendingBytesTracker newTracker(io.netty.channel.Channel)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.channel.group.DefaultChannelGroup: io.netty.channel.group.ChannelGroupFuture write(java.lang.Object,io.netty.channel.group.ChannelMatcher,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.channel.group.DefaultChannelGroup: io.netty.channel.group.ChannelGroupFuture writeAndFlush(java.lang.Object,io.netty.channel.group.ChannelMatcher,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.codec.marshalling.CompatibleMarshallingDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.codec.protobuf.ProtobufDecoder: void <init>(com.google.protobuf.MessageLite,com.google.protobuf.ExtensionRegistry)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.proxy.HttpProxyHandler: java.lang.Object newInitialMessage(io.netty.channel.ChannelHandlerContext)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.proxy.Socks4ProxyHandler: void addCodec(io.netty.channel.ChannelHandlerContext)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.proxy.Socks5ProxyHandler: void sendConnectCommand(io.netty.channel.ChannelHandlerContext)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.proxy.Socks5ProxyHandler: boolean handleResponse(io.netty.channel.ChannelHandlerContext,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.proxy.Socks5ProxyHandler: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.proxy.Socks5ProxyHandler: void addCodec(io.netty.channel.ChannelHandlerContext)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.JdkAlpnApplicationProtocolNegotiator: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.JettyNpnSslEngine: void <init>(javax.net.ssl.SSLEngine,io.netty.handler.ssl.JdkApplicationProtocolNegotiator,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.OpenSsl: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.ReferenceCountedOpenSslClientContext: io.netty.handler.ssl.OpenSslSessionContext newSessionContext(io.netty.handler.ssl.ReferenceCountedOpenSslContext,long,io.netty.handler.ssl.OpenSslEngineMap,java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.String,long,long,io.netty.handler.ssl.ResumptionController)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.ReferenceCountedOpenSslEngine: javax.net.ssl.SSLException newSSLExceptionForError(int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.ocsp.OcspClient: java.lang.String parseOcspUrlFromCertificate(java.security.cert.X509Certificate)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.ocsp.OcspClient: void validateSignature(org.bouncycastle.cert.ocsp.BasicOCSPResp,java.security.cert.X509Certificate)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.ocsp.OcspClient: void validateNonce(org.bouncycastle.cert.ocsp.BasicOCSPResp,org.bouncycastle.asn1.DEROctetString)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.ocsp.OcspHttpHandler: void channelRead0(io.netty.channel.ChannelHandlerContext,io.netty.handler.codec.http.FullHttpResponse)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.handler.ssl.util.BouncyCastleSelfSignedCertGenerator: java.lang.String[] generate(java.lang.String,java.security.KeyPair,java.security.SecureRandom,java.util.Date,java.util.Date,java.lang.String)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.AsciiString: boolean regionMatches(java.lang.CharSequence,boolean,int,java.lang.CharSequence,int,int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.AsciiString: boolean regionMatchesAscii(java.lang.CharSequence,boolean,int,java.lang.CharSequence,int,int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.concurrent.PromiseTask: void <init>(io.netty.util.concurrent.EventExecutor,java.lang.Runnable,java.lang.Object)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.internal.NativeLibraryLoader: void loadLibrary(java.lang.ClassLoader,java.lang.String,boolean)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.internal.PlatformDependent: java.util.Queue newFixedMpscUnpaddedQueue(int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.internal.PlatformDependent: java.util.Queue newFixedMpscQueue(int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.internal.PlatformDependent: java.util.Queue newFixedMpmcQueue(int)> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.internal.PlatformDependent: java.util.Queue newSpscQueue()> | java.lang.VerifyError | Cannot inherit from final class
<io.netty.util.internal.logging.Slf4JLoggerFactory: io.netty.util.internal.logging.InternalLogger wrapLogger(org.slf4j.Logger)> | java.lang.VerifyError | Cannot inherit from final class
<jnr.ffi.mapper.FromNativeTypes: jnr.ffi.mapper.FromNativeType create(jnr.ffi.mapper.FromNativeConverter)> | java.lang.VerifyError | Cannot inherit from final class
<jnr.ffi.mapper.ToNativeTypes: jnr.ffi.mapper.ToNativeType create(jnr.ffi.mapper.ToNativeConverter)> | java.lang.VerifyError | Cannot inherit from final class
<jnr.ffi.provider.jffi.AsmLibraryLoader: java.lang.Object generateInterfaceImpl(jnr.ffi.provider.jffi.NativeLibrary,java.lang.Class,java.util.Map,jnr.ffi.provider.jffi.AsmClassLoader)> | java.lang.VerifyError | Cannot inherit from final class
<jnr.ffi.provider.jffi.DefaultInvokerFactory: jnr.ffi.provider.Invoker createInvoker(java.lang.reflect.Method)> | java.lang.VerifyError | Cannot inherit from final class
<net.openhft.affinity.AffinityLock: void <clinit>()> | java.lang.VerifyError | Cannot inherit from final class
